,element,position,multiplier,is_captain,is_vice_captain
0,301,1,1,False,False
1,31,2,1,False,False
2,5,3,1,False,False
3,506,4,1,False,False
4,362,5,1,False,False
5,308,6,1,False,True
6,19,7,1,False,False
7,516,8,1,False,False
8,108,9,1,False,False
9,355,10,2,True,False
10,415,11,1,False,False
11,409,12,0,False,False
12,311,13,0,False,False
13,326,14,0,False,False
14,602,15,0,False,False
0,275,1,1,False,True
1,290,2,1,False,False
2,313,3,1,False,False
3,31,4,1,False,False
4,516,5,1,False,False
5,249,6,1,False,False
6,308,7,2,True,False
7,19,8,1,False,False
8,415,9,1,False,False
9,590,10,1,False,False
10,60,11,1,False,False
11,524,12,0,False,False
12,688,13,0,False,False
13,362,14,0,False,False
14,506,15,0,False,False
0,230,1,1,False,False
1,20,2,1,False,False
2,430,3,1,False,False
3,265,4,1,False,False
4,108,5,1,False,False
5,516,6,1,False,False
6,308,7,2,True,False
7,557,8,1,False,False
8,355,9,1,False,True
9,85,10,1,False,False
10,297,11,1,False,False
11,524,12,0,False,False
12,412,13,0,False,False
13,311,14,0,False,False
14,473,15,0,False,False
0,275,1,1,False,False
1,5,2,1,False,False
2,419,3,1,False,False
3,506,4,1,False,False
4,19,5,1,False,False
5,557,6,1,False,False
6,308,7,2,True,False
7,516,8,1,False,True
8,135,9,1,False,False
9,355,10,1,False,False
10,293,11,1,False,False
11,524,12,0,False,False
12,412,13,0,False,False
13,311,14,0,False,False
14,112,15,0,False,False
0,597,1,1,False,False
1,31,2,1,False,False
2,419,3,1,False,False
3,572,4,1,False,False
4,308,5,2,True,False
5,516,6,1,False,False
6,108,7,1,False,False
7,689,8,1,False,False
8,557,9,1,False,False
9,60,10,1,False,False
10,355,11,1,False,True
11,524,12,0,False,False
12,135,13,0,False,False
13,311,14,0,False,False
14,519,15,0,False,False
0,275,1,1,False,False
1,260,2,1,False,False
2,20,3,1,False,False
3,234,4,1,False,False
4,516,5,1,False,False
5,362,6,1,False,False
6,557,7,1,False,False
7,19,8,1,False,False
8,308,9,2,True,False
9,355,10,1,False,True
10,60,11,1,False,False
11,524,12,0,False,False
12,311,13,0,False,False
13,36,14,0,False,False
14,33,15,0,False,False
0,301,1,1,False,False
1,245,2,1,False,False
2,42,3,1,False,False
3,20,4,1,False,False
4,108,5,1,False,False
5,516,6,1,False,True
6,308,7,2,True,False
7,689,8,1,False,False
8,60,9,1,False,False
9,355,10,1,False,False
10,8,11,1,False,False
11,524,12,0,False,False
12,311,13,0,False,False
13,203,14,0,False,False
14,360,15,0,False,False
0,597,1,1,False,False
1,506,2,1,False,False
2,341,3,1,False,False
3,31,4,1,False,False
4,516,5,1,False,True
5,526,6,1,False,False
6,308,7,2,True,False
7,19,8,1,False,False
8,343,9,1,False,False
9,60,10,1,False,False
10,85,11,1,False,False
11,28,12,0,False,False
12,216,13,0,False,False
13,377,14,0,False,False
14,36,15,0,False,False
0,409,1,1,False,False
1,20,2,1,False,False
2,387,3,1,False,False
3,506,4,1,False,False
4,108,5,1,False,False
5,412,6,1,False,False
6,516,7,1,False,True
7,12,8,1,False,False
8,308,9,1,False,False
9,60,10,1,False,False
10,355,11,2,True,False
11,524,12,0,False,False
12,178,13,0,False,False
13,197,14,0,False,False
14,33,15,0,False,False
0,301,1,1,False,False
1,430,2,1,False,False
2,234,3,1,False,False
3,519,4,1,False,False
4,19,5,1,False,False
5,308,6,2,True,False
6,557,7,1,False,False
7,362,8,1,False,False
8,343,9,1,False,False
9,60,10,1,False,False
10,355,11,1,False,True
11,275,12,0,False,False
12,412,13,0,False,False
13,528,14,0,False,False
14,36,15,0,False,False
0,230,1,1,False,False
1,419,2,1,False,False
2,220,3,1,False,False
3,313,4,1,False,False
4,19,5,1,False,False
5,689,6,1,False,False
6,308,7,2,True,False
7,362,8,1,False,False
8,85,9,1,False,False
9,355,10,1,False,True
10,60,11,1,False,False
11,524,12,0,False,False
12,265,13,0,False,False
13,473,14,0,False,False
14,599,15,0,False,False
0,145,1,1,False,False
1,688,2,1,False,False
2,311,3,1,False,False
3,377,4,1,False,False
4,308,5,1,False,True
5,108,6,1,False,False
6,344,7,1,False,False
7,19,8,1,False,False
8,557,9,1,False,False
9,225,10,1,False,False
10,355,11,2,True,False
11,524,12,0,False,False
12,60,13,0,False,False
13,36,14,0,False,False
14,203,15,0,False,False
0,145,1,1,False,False
1,283,2,1,False,False
2,20,3,1,False,False
3,519,4,1,False,False
4,308,5,2,True,False
5,412,6,1,False,False
6,526,7,1,False,False
7,19,8,1,False,False
8,293,9,1,False,True
9,355,10,1,False,False
10,343,11,1,False,False
11,524,12,0,False,False
12,311,13,0,False,False
13,387,14,0,False,False
14,664,15,0,False,False
0,275,1,1,False,False
1,5,2,1,False,False
2,20,3,1,False,False
3,313,4,1,False,False
4,108,5,1,False,False
5,12,6,1,False,False
6,362,7,1,False,False
7,308,8,2,True,False
8,516,9,1,False,False
9,355,10,1,False,True
10,343,11,1,False,False
11,28,12,0,False,False
12,688,13,0,False,False
13,33,14,0,False,False
14,112,15,0,False,False
0,301,1,1,False,False
1,519,2,1,False,False
2,245,3,1,False,False
3,430,4,1,False,False
4,516,5,1,False,False
5,309,6,1,False,False
6,362,7,1,False,False
7,308,8,2,True,False
8,355,9,1,False,True
9,590,10,1,False,False
10,60,11,1,False,False
11,28,12,0,False,False
12,412,13,0,False,False
13,528,14,0,False,False
14,36,15,0,False,False
0,145,1,1,False,False
1,20,2,1,False,False
2,387,3,1,False,False
3,290,4,1,False,False
4,19,5,1,False,False
5,516,6,1,False,False
6,353,7,1,False,True
7,308,8,2,True,False
8,293,9,1,False,False
9,8,10,1,False,False
10,132,11,1,False,False
11,28,12,0,False,False
12,362,13,0,False,False
13,473,14,0,False,False
14,602,15,0,False,False
0,524,1,1,False,False
1,265,2,1,False,False
2,703,3,1,False,False
3,290,4,1,False,False
4,108,5,1,False,False
5,516,6,1,False,False
6,308,7,1,False,True
7,12,8,1,False,False
8,362,9,1,False,False
9,355,10,2,True,False
10,343,11,1,False,False
11,28,12,0,False,False
12,33,13,0,False,False
13,473,14,0,False,False
14,311,15,0,False,False
0,275,1,1,False,False
1,31,2,1,False,False
2,260,3,1,False,False
3,430,4,1,False,False
4,308,5,2,True,False
5,516,6,1,False,False
6,412,7,1,False,False
7,108,8,1,False,False
8,19,9,1,False,True
9,355,10,1,False,False
10,343,11,1,False,False
11,524,12,0,False,False
12,82,13,0,False,False
13,311,14,0,False,False
14,633,15,0,False,False
0,597,1,1,False,False
1,5,2,1,False,False
2,20,3,1,False,False
3,290,4,1,False,False
4,308,5,2,True,False
5,19,6,1,False,True
6,516,7,1,False,False
7,108,8,1,False,False
8,326,9,1,False,False
9,343,10,1,False,False
10,60,11,1,False,False
11,28,12,0,False,False
12,226,13,0,False,False
13,311,14,0,False,False
14,405,15,0,False,False
0,275,1,1,False,False
1,245,2,1,False,False
2,584,3,1,False,False
3,5,4,1,False,False
4,362,5,1,False,False
5,353,6,1,False,False
6,108,7,1,False,False
7,308,8,2,True,False
8,355,9,1,False,True
9,85,10,1,False,False
10,343,11,1,False,False
11,28,12,0,False,False
12,430,13,0,False,False
13,143,14,0,False,False
14,36,15,0,False,False
0,263,1,1,False,False
1,5,2,1,False,False
2,506,3,1,False,False
3,688,4,1,False,False
4,14,5,1,False,False
5,516,6,1,False,True
6,412,7,1,False,False
7,108,8,1,False,False
8,308,9,1,False,False
9,343,10,1,False,False
10,355,11,2,True,False
11,524,12,0,False,False
12,36,13,0,False,False
13,82,14,0,False,False
14,203,15,0,False,False
0,524,1,1,False,False
1,377,2,1,False,False
2,228,3,1,False,False
3,5,4,1,False,False
4,308,5,2,True,False
5,108,6,1,False,False
6,412,7,1,False,False
7,19,8,1,False,False
8,60,9,1,False,False
9,355,10,1,False,True
10,590,11,1,False,False
11,291,12,0,False,False
12,664,13,0,False,False
13,311,14,0,False,False
14,36,15,0,False,False
0,275,1,1,False,False
1,5,2,1,False,False
2,20,3,1,False,False
3,430,4,1,False,False
4,43,5,1,False,False
5,516,6,1,False,True
6,308,7,2,True,False
7,557,8,1,False,False
8,689,9,1,False,False
9,293,10,1,False,False
10,355,11,1,False,False
11,524,12,0,False,False
12,311,13,0,False,False
13,33,14,0,False,False
14,178,15,0,False,False
0,409,1,1,False,False
1,430,2,1,False,False
2,5,3,1,False,False
3,290,4,1,False,False
4,19,5,1,False,False
5,108,6,1,False,False
6,308,7,2,True,False
7,516,8,1,False,True
8,590,9,1,False,False
9,343,10,1,False,False
10,60,11,1,False,False
11,524,12,0,False,False
12,689,13,0,False,False
13,36,14,0,False,False
14,602,15,0,False,False
0,145,1,1,False,False
1,5,2,1,False,False
2,419,3,1,False,False
3,234,4,1,False,False
4,303,5,1,False,False
5,108,6,1,False,False
6,308,7,2,True,False
7,19,8,1,False,False
8,516,9,1,False,False
9,355,10,1,False,True
10,343,11,1,False,False
11,524,12,0,False,False
12,82,13,0,False,False
13,311,14,0,False,False
14,42,15,0,False,False
0,275,1,1,False,False
1,506,2,1,False,False
2,20,3,1,False,False
3,283,4,1,False,False
4,19,5,2,True,False
5,362,6,1,False,False
6,14,7,1,False,False
7,108,8,1,False,False
8,308,9,1,False,False
9,60,10,1,False,False
10,355,11,1,False,True
11,524,12,0,False,False
12,311,13,0,False,False
13,234,14,0,False,False
14,33,15,0,False,False
0,145,1,1,False,False
1,430,2,1,False,False
2,234,3,1,False,False
3,31,4,1,False,False
4,308,5,2,True,False
5,412,6,1,False,False
6,108,7,1,False,False
7,19,8,1,False,True
8,43,9,1,False,False
9,60,10,1,False,False
10,355,11,1,False,False
11,524,12,0,False,False
12,387,13,0,False,False
13,33,14,0,False,False
14,139,15,0,False,False
0,275,1,1,False,False
1,313,2,1,False,False
2,311,3,1,False,False
3,20,4,1,False,False
4,26,5,1,False,False
5,344,6,1,False,False
6,308,7,2,True,False
7,412,8,1,False,False
8,108,9,1,False,False
9,343,10,1,False,False
10,355,11,1,False,True
11,524,12,0,False,False
12,60,13,0,False,False
13,36,14,0,False,False
14,139,15,0,False,False
0,101,1,1,False,False
1,260,2,1,False,False
2,419,3,1,False,False
3,573,4,1,False,False
4,412,5,1,False,False
5,308,6,2,True,False
6,19,7,1,False,False
7,249,8,1,False,False
8,355,9,1,False,True
9,415,10,1,False,False
10,60,11,1,False,False
11,524,12,0,False,False
12,311,13,0,False,False
13,526,14,0,False,False
14,584,15,0,False,False
0,409,1,1,False,False
1,290,2,1,False,False
2,20,3,1,False,False
3,430,4,1,False,False
4,419,5,1,False,False
5,19,6,1,False,False
6,308,7,2,True,False
7,108,8,1,False,False
8,516,9,1,False,True
9,343,10,1,False,False
10,60,11,1,False,False
11,524,12,0,False,False
12,526,13,0,False,False
13,220,14,0,False,False
14,33,15,0,False,False
0,145,1,1,False,False
1,528,2,1,False,False
2,430,3,1,False,False
3,234,4,1,False,False
4,412,5,1,False,False
5,19,6,1,False,False
6,526,7,1,False,False
7,308,8,2,True,False
8,108,9,1,False,False
9,60,10,1,False,False
10,355,11,1,False,True
11,28,12,0,False,False
12,311,13,0,False,False
13,602,14,0,False,False
14,279,15,0,False,False
0,409,1,1,False,False
1,220,2,1,False,False
2,387,3,1,False,False
3,551,4,1,False,False
4,308,5,2,True,False
5,526,6,1,False,False
6,19,7,1,False,True
7,516,8,1,False,False
8,412,9,1,False,False
9,355,10,1,False,False
10,60,11,1,False,False
11,524,12,0,False,False
12,90,13,0,False,False
13,311,14,0,False,False
14,33,15,0,False,False
0,301,1,1,False,False
1,430,2,1,False,False
2,290,3,1,False,False
3,31,4,1,False,False
4,112,5,1,False,False
5,450,6,1,False,False
6,308,7,2,True,False
7,516,8,1,False,False
8,373,9,1,False,True
9,119,10,1,False,False
10,60,11,1,False,False
11,17,12,0,False,False
12,377,13,0,False,False
13,412,14,0,False,False
14,33,15,0,False,False
0,263,1,1,False,False
1,506,2,1,False,False
2,20,3,1,False,False
3,430,4,1,False,False
4,447,5,1,False,False
5,516,6,1,False,True
6,308,7,2,True,False
7,108,8,1,False,False
8,362,9,1,False,False
9,293,10,1,False,False
10,355,11,1,False,False
11,28,12,0,False,False
12,311,13,0,False,False
13,33,14,0,False,False
14,473,15,0,False,False
0,230,1,1,False,False
1,430,2,1,False,False
2,20,3,1,False,False
3,419,4,1,False,False
4,108,5,1,False,False
5,526,6,1,False,False
6,308,7,2,True,False
7,412,8,1,False,False
8,516,9,1,False,False
9,293,10,1,False,False
10,355,11,1,False,True
11,28,12,0,False,False
12,311,13,0,False,False
13,473,14,0,False,False
14,538,15,0,False,False
0,230,1,1,False,False
1,31,2,1,False,False
2,633,3,1,False,False
3,511,4,1,False,False
4,412,5,1,False,False
5,19,6,1,False,True
6,516,7,1,False,False
7,308,8,2,True,False
8,526,9,1,False,False
9,60,10,1,False,False
10,343,11,1,False,False
11,367,12,0,False,False
12,311,13,0,False,False
13,377,14,0,False,False
14,13,15,0,False,False
0,101,1,1,False,False
1,290,2,1,False,False
2,506,3,1,False,False
3,430,4,1,False,False
4,528,5,1,False,False
5,308,6,2,True,False
6,108,7,1,False,False
7,599,8,1,False,False
8,516,9,1,False,False
9,60,10,1,False,False
10,293,11,1,False,True
11,28,12,0,False,False
12,36,13,0,False,False
13,226,14,0,False,False
14,33,15,0,False,False
0,275,1,1,False,False
1,528,2,1,False,False
2,430,3,1,False,False
3,36,4,1,False,False
4,108,5,1,False,False
5,516,6,1,False,False
6,236,7,1,False,False
7,308,8,1,False,True
8,132,9,1,False,False
9,60,10,1,False,False
10,355,11,2,True,False
11,116,12,0,False,False
12,311,13,0,False,False
13,473,14,0,False,False
14,52,15,0,False,False
0,301,1,1,False,False
1,5,2,1,False,False
2,20,3,1,False,False
3,419,4,1,False,False
4,516,5,1,False,False
5,19,6,1,False,False
6,308,7,2,True,False
7,108,8,1,False,False
8,362,9,1,False,False
9,355,10,1,False,True
10,293,11,1,False,False
11,145,12,0,False,False
12,178,13,0,False,False
13,538,14,0,False,False
14,473,15,0,False,False
0,524,1,1,False,False
1,31,2,1,False,False
2,220,3,1,False,False
3,430,4,1,False,False
4,557,5,1,False,False
5,308,6,1,False,False
6,19,7,1,False,True
7,516,8,2,True,False
8,412,9,1,False,False
9,355,10,1,False,False
10,60,11,1,False,False
11,28,12,0,False,False
12,538,13,0,False,False
13,139,14,0,False,False
14,419,15,0,False,False
0,524,1,1,False,False
1,430,2,1,False,False
2,112,3,1,False,False
3,419,4,1,False,False
4,308,5,2,True,False
5,19,6,1,False,False
6,362,7,1,False,False
7,516,8,1,False,False
8,60,9,1,False,False
9,343,10,1,False,False
10,355,11,1,False,True
11,28,12,0,False,False
12,513,13,0,False,False
13,387,14,0,False,False
14,245,15,0,False,False
0,145,1,1,False,False
1,519,2,1,False,False
2,430,3,1,False,False
3,311,4,1,False,False
4,412,5,1,False,False
5,689,6,1,False,False
6,308,7,2,True,False
7,19,8,1,False,False
8,12,9,1,False,False
9,343,10,1,False,False
10,355,11,1,False,True
11,524,12,0,False,False
12,82,13,0,False,False
13,36,14,0,False,False
14,203,15,0,False,False
0,409,1,1,False,False
1,506,2,1,False,False
2,228,3,1,False,False
3,419,4,1,False,False
4,308,5,2,True,False
5,122,6,1,False,False
6,516,7,1,False,False
7,108,8,1,False,False
8,19,9,1,False,False
9,60,10,1,False,False
10,355,11,1,False,True
11,524,12,0,False,False
12,311,13,0,False,False
13,33,14,0,False,False
14,178,15,0,False,False
0,301,1,1,False,False
1,228,2,1,False,False
2,20,3,1,False,False
3,419,4,1,False,False
4,108,5,1,False,False
5,412,6,1,False,False
6,308,7,1,False,True
7,19,8,1,False,False
8,355,9,2,True,False
9,60,10,1,False,False
10,343,11,1,False,False
11,524,12,0,False,False
12,311,13,0,False,False
13,36,14,0,False,False
14,360,15,0,False,False
0,409,1,1,False,False
1,387,2,1,False,False
2,544,3,1,False,False
3,197,4,1,False,False
4,308,5,2,True,False
5,19,6,1,False,False
6,516,7,1,False,False
7,108,8,1,False,False
8,605,9,1,False,False
9,355,10,1,False,True
10,590,11,1,False,False
11,263,12,0,False,False
12,60,13,0,False,False
13,311,14,0,False,False
14,36,15,0,False,False
0,409,1,1,False,False
1,220,2,1,False,False
2,5,3,1,False,False
3,245,4,1,False,False
4,516,5,1,False,False
5,362,6,1,False,False
6,308,7,2,True,False
7,19,8,1,False,False
8,108,9,1,False,False
9,60,10,1,False,False
10,355,11,1,False,True
11,524,12,0,False,False
12,311,13,0,False,False
13,419,14,0,False,False
14,33,15,0,False,False
0,409,1,1,False,False
1,311,2,1,False,False
2,519,3,1,False,False
3,313,4,1,False,False
4,599,5,1,False,False
5,516,6,1,False,False
6,689,7,1,False,False
7,557,8,1,False,False
8,308,9,2,True,False
9,355,10,1,False,True
10,60,11,1,False,False
11,524,12,0,False,False
12,13,13,0,False,False
13,36,14,0,False,False
14,139,15,0,False,False
0,263,1,1,False,False
1,419,2,1,False,False
2,245,3,1,False,False
3,506,4,1,False,False
4,308,5,2,True,False
5,516,6,1,False,False
6,108,7,1,False,False
7,19,8,1,False,True
8,343,9,1,False,False
9,60,10,1,False,False
10,355,11,1,False,False
11,28,12,0,False,False
12,311,13,0,False,False
13,473,14,0,False,False
14,52,15,0,False,False
0,28,1,1,False,False
1,20,2,1,False,False
2,245,3,1,False,False
3,506,4,1,False,False
4,216,5,1,False,False
5,19,6,1,False,True
6,450,7,1,False,False
7,308,8,2,True,False
8,60,9,1,False,False
9,132,10,1,False,False
10,355,11,1,False,False
11,524,12,0,False,False
12,689,13,0,False,False
13,311,14,0,False,False
14,693,15,0,False,False
0,524,1,1,False,False
1,430,2,1,False,False
2,419,3,1,False,False
3,584,4,1,False,False
4,308,5,1,False,False
5,12,6,1,False,False
6,557,7,1,False,False
7,516,8,2,True,False
8,108,9,1,False,False
9,355,10,1,False,True
10,60,11,1,False,False
11,28,12,0,False,False
12,473,13,0,False,False
13,311,14,0,False,False
14,82,15,0,False,False
0,275,1,1,False,False
1,430,2,1,False,False
2,5,3,1,False,False
3,31,4,1,False,False
4,14,5,1,False,False
5,557,6,1,False,False
6,308,7,1,False,True
7,108,8,1,False,False
8,85,9,1,False,False
9,343,10,1,False,False
10,355,11,2,True,False
11,524,12,0,False,False
12,311,13,0,False,False
13,36,14,0,False,False
14,403,15,0,False,False
0,301,1,1,False,False
1,633,2,1,False,False
2,283,3,1,False,False
3,358,4,1,False,False
4,14,5,1,False,False
5,19,6,1,False,False
6,557,7,1,False,False
7,516,8,1,False,False
8,308,9,2,True,False
9,355,10,1,False,True
10,293,11,1,False,False
11,409,12,0,False,False
12,82,13,0,False,False
13,25,14,0,False,False
14,178,15,0,False,False
0,597,1,1,False,False
1,369,2,1,False,False
2,20,3,1,False,False
3,430,4,1,False,False
4,31,5,1,False,False
5,308,6,1,False,True
6,516,7,1,False,False
7,412,8,1,False,False
8,344,9,1,False,False
9,355,10,2,True,False
10,60,11,1,False,False
11,524,12,0,False,False
12,419,13,0,False,False
13,82,14,0,False,False
14,382,15,0,False,False
0,409,1,1,False,False
1,506,2,1,False,False
2,31,3,1,False,False
3,430,4,1,False,False
4,362,5,1,False,False
5,19,6,1,False,False
6,108,7,1,False,False
7,516,8,1,False,True
8,308,9,2,True,False
9,355,10,1,False,False
10,135,11,1,False,False
11,263,12,0,False,False
12,311,13,0,False,False
13,419,14,0,False,False
14,82,15,0,False,False
0,77,1,1,False,False
1,419,2,1,False,False
2,20,3,1,False,False
3,220,4,1,False,False
4,308,5,2,True,False
5,412,6,1,False,False
6,378,7,1,False,False
7,516,8,1,False,False
8,60,9,1,False,False
9,590,10,1,False,False
10,355,11,1,False,True
11,524,12,0,False,False
12,311,13,0,False,False
13,599,14,0,False,False
14,36,15,0,False,False
0,49,1,1,False,False
1,31,2,1,False,False
2,465,3,1,False,False
3,430,4,1,False,False
4,516,5,1,False,False
5,308,6,2,True,False
6,591,7,1,False,False
7,412,8,1,False,False
8,355,9,1,False,True
9,590,10,1,False,False
10,85,11,1,False,False
11,524,12,0,False,False
12,311,13,0,False,False
13,528,14,0,False,False
14,52,15,0,False,False
0,524,1,1,False,False
1,430,2,1,False,False
2,5,3,1,False,False
3,506,4,1,False,False
4,108,5,1,False,False
5,19,6,1,False,False
6,412,7,1,False,False
7,308,8,2,True,False
8,516,9,1,False,True
9,297,10,1,False,False
10,355,11,1,False,False
11,28,12,0,False,False
