,element,position,multiplier,is_captain,is_vice_captain
0,524,1,1,False,False
1,506,2,1,False,False
2,290,3,1,False,False
3,5,4,1,False,False
4,19,5,1,False,False
5,353,6,1,False,False
6,294,7,1,False,False
7,526,8,1,False,True
8,60,9,1,False,False
9,343,10,2,True,False
10,85,11,1,False,False
11,409,12,0,False,False
12,362,13,0,False,False
13,48,14,0,False,False
14,602,15,0,False,False
15,291,1,1,False,False
16,36,2,1,False,False
17,407,3,1,False,False
18,228,4,1,False,False
19,509,5,1,False,False
20,362,6,1,False,False
21,19,7,1,False,False
22,349,8,2,True,False
23,60,9,1,False,False
24,85,10,1,False,False
25,343,11,1,False,True
26,524,12,0,False,False
27,412,13,0,False,False
28,369,14,0,False,False
29,5,15,0,False,False
30,113,1,1,False,False
31,290,2,1,False,False
32,48,3,1,False,False
33,5,4,1,False,False
34,509,5,2,True,False
35,19,6,1,False,False
36,43,7,1,False,False
37,353,8,1,False,False
38,85,9,1,False,False
39,343,10,1,False,True
40,60,11,1,False,False
41,524,12,0,False,False
42,362,13,0,False,False
43,369,14,0,False,False
44,405,15,0,False,False
45,524,1,1,False,False
46,131,2,1,False,False
47,5,3,1,False,False
48,532,4,1,False,False
49,506,5,1,False,False
50,509,6,1,False,False
51,294,7,1,False,False
52,349,8,2,True,False
53,19,9,1,False,False
54,590,10,1,False,False
55,343,11,1,False,True
56,275,12,0,False,False
57,85,13,0,False,False
58,321,14,0,False,False
59,362,15,0,False,False
60,524,1,1,False,False
61,506,2,1,False,False
62,20,3,1,False,False
63,519,4,1,False,False
64,131,5,1,False,False
65,349,6,2,True,False
66,382,7,1,False,False
67,294,8,1,False,True
68,509,9,1,False,False
69,85,10,1,False,False
70,60,11,1,False,False
71,409,12,0,False,False
72,321,13,0,False,False
73,117,14,0,False,False
74,362,15,0,False,False
75,113,1,1,False,False
76,290,2,1,False,False
77,5,3,1,False,False
78,32,4,1,False,False
79,509,5,1,False,True
80,19,6,1,False,False
81,353,7,2,True,False
82,362,8,1,False,False
83,85,9,1,False,False
84,343,10,1,False,False
85,60,11,1,False,False
86,28,12,0,False,False
87,369,13,0,False,False
88,203,14,0,False,False
89,308,15,0,False,False
90,409,1,1,False,False
91,506,2,1,False,False
92,5,3,1,False,False
93,131,4,1,False,False
94,19,5,1,False,False
95,353,6,1,False,False
96,362,7,1,False,True
97,382,8,1,False,False
98,415,9,2,True,False
99,60,10,1,False,False
100,85,11,1,False,False
101,301,12,0,False,False
102,150,13,0,False,False
103,407,14,0,False,False
104,308,15,0,False,False
105,524,1,1,False,False
106,506,2,1,False,False
107,32,3,1,False,False
108,5,4,1,False,False
109,353,5,2,True,False
110,362,6,1,False,True
111,501,7,1,False,False
112,19,8,1,False,False
113,60,9,1,False,False
114,85,10,1,False,False
115,343,11,1,False,False
116,409,12,0,False,False
117,298,13,0,False,False
118,197,14,0,False,False
119,403,15,0,False,False
120,275,1,1,False,False
121,245,2,1,False,False
122,430,3,1,False,False
123,519,4,1,False,False
124,5,5,1,False,False
125,362,6,1,False,False
126,353,7,2,True,False
127,19,8,1,False,True
128,60,9,1,False,False
129,85,10,1,False,False
130,343,11,1,False,False
131,145,12,0,False,False
132,344,13,0,False,False
133,36,14,0,False,False
134,557,15,0,False,False
135,263,1,1,False,False
136,290,2,1,False,False
137,506,3,1,False,False
138,131,4,1,False,False
139,294,5,1,False,True
140,19,6,1,False,False
141,226,7,2,True,False
142,353,8,1,False,False
143,293,9,1,False,False
144,343,10,1,False,False
145,135,11,1,False,False
146,524,12,0,False,False
147,20,13,0,False,False
148,362,14,0,False,False
149,203,15,0,False,False
150,524,1,1,False,False
151,31,2,1,False,False
152,506,3,1,False,False
153,290,4,1,False,False
154,321,5,1,False,False
155,526,6,1,False,False
156,509,7,1,False,False
157,567,8,2,True,False
158,415,9,1,False,False
159,590,10,1,False,False
160,60,11,1,False,True
161,275,12,0,False,False
162,584,13,0,False,False
163,362,14,0,False,False
164,516,15,0,False,False
165,275,1,1,False,False
166,131,2,1,False,False
167,290,3,1,False,False
168,5,4,1,False,False
169,353,5,1,False,False
170,19,6,1,False,False
171,349,7,2,True,False
172,294,8,1,False,True
173,117,9,1,False,False
174,60,10,1,False,False
175,135,11,1,False,False
176,524,12,0,False,False
177,245,13,0,False,False
178,362,14,0,False,False
179,203,15,0,False,False
180,263,1,1,False,False
181,506,2,1,False,False
182,342,3,1,False,False
183,290,4,1,False,False
184,236,5,1,False,False
185,303,6,1,False,False
186,362,7,1,False,False
187,509,8,2,True,False
188,353,9,1,False,False
189,343,10,1,False,False
190,85,11,1,False,True
191,77,12,0,False,False
192,211,13,0,False,False
193,20,14,0,False,False
194,31,15,0,False,False
195,524,1,1,False,False
196,31,2,1,False,False
197,290,3,1,False,True
198,131,4,1,False,False
199,19,5,2,True,False
200,353,6,1,False,False
201,509,7,1,False,False
202,412,8,1,False,False
203,343,9,1,False,False
204,85,10,1,False,False
205,60,11,1,False,False
206,275,12,0,False,False
207,519,13,0,False,False
208,362,14,0,False,False
209,430,15,0,False,False
210,49,1,1,False,False
211,369,2,1,False,False
212,506,3,1,False,False
213,131,4,1,False,False
214,19,5,1,False,True
215,134,6,1,False,False
216,373,7,1,False,False
217,353,8,2,True,False
218,362,9,1,False,False
219,8,10,1,False,False
220,343,11,1,False,False
221,409,12,0,False,False
222,232,13,0,False,False
223,584,14,0,False,False
224,197,15,0,False,False
225,49,1,1,False,False
226,131,2,1,False,False
227,506,3,1,False,False
228,290,4,1,False,False
