,element,position,multiplier,is_captain,is_vice_captain
0,113,1,1,False,False
1,369,2,1,False,False
2,5,3,1,False,False
3,32,4,1,False,False
4,412,5,1,False,False
5,353,6,1,False,False
6,557,7,1,False,False
7,19,8,1,False,True
8,60,9,1,False,False
9,355,10,2,True,False
10,85,11,1,False,False
11,28,12,0,False,False
12,509,13,0,False,False
13,313,14,0,False,False
14,203,15,0,False,False
15,524,1,1,False,False
16,5,2,1,False,False
17,545,3,1,False,False
18,369,4,1,False,False
19,373,5,1,False,False
20,353,6,1,False,False
21,134,7,1,False,False
22,19,8,1,False,False
23,43,9,1,False,False
24,355,10,2,True,False
25,60,11,1,False,True
26,275,12,0,False,False
27,321,13,0,False,False
28,313,14,0,False,False
29,293,15,0,False,False
30,113,1,1,False,False
31,5,2,1,False,False
32,584,3,1,False,False
33,369,4,1,False,False
34,557,5,1,False,False
35,43,6,1,False,False
36,19,7,1,False,True
37,353,8,1,False,False
38,85,9,1,False,False
39,355,10,2,True,False
40,60,11,1,False,False
41,275,12,0,False,False
42,509,13,0,False,False
43,307,14,0,False,False
44,313,15,0,False,False
45,49,1,1,False,False
46,532,2,1,False,False
47,131,3,1,False,False
48,369,4,1,False,False
49,526,5,1,False,False
50,19,6,1,False,False
51,353,7,1,False,False
52,43,8,1,False,False
53,193,9,1,False,False
54,355,10,1,False,True
55,60,11,2,True,False
56,524,12,0,False,False
57,313,13,0,False,False
58,509,14,0,False,False
59,506,15,0,False,False
60,49,1,1,False,False
61,20,2,1,False,False
62,129,3,1,False,False
63,395,4,1,False,False
64,557,5,1,False,True
65,19,6,1,False,False
66,353,7,1,False,False
67,526,8,1,False,False
68,117,9,1,False,False
69,60,10,1,False,False
70,355,11,2,True,False
71,28,12,0,False,False
72,678,13,0,False,False
73,5,14,0,False,False
74,584,15,0,False,False
75,113,1,1,False,False
76,405,2,1,False,False
77,5,3,1,False,False
78,369,4,1,False,False
79,43,5,1,False,False
80,557,6,1,False,True
81,19,7,1,False,False
82,353,8,1,False,False
83,85,9,1,False,False
84,355,10,2,True,False
85,60,11,1,False,False
86,524,12,0,False,False
87,313,13,0,False,False
88,509,14,0,False,False
89,321,15,0,False,False
90,524,1,1,False,False
91,32,2,1,False,False
92,342,3,1,False,False
93,5,4,1,False,False
94,545,5,1,False,False
95,19,6,1,False,True
96,557,7,1,False,False
97,353,8,1,False,False
98,60,9,1,False,False
99,85,10,1,False,False
100,355,11,2,True,False
101,409,12,0,False,False
102,362,13,0,False,False
103,197,14,0,False,False
104,403,15,0,False,False
105,524,1,1,False,False
106,563,2,1,False,False
107,5,3,1,False,False
108,584,4,1,False,False
109,526,5,1,False,False
110,43,6,1,False,False
111,557,7,2,True,False
112,19,8,1,False,False
113,85,9,1,False,False
114,60,10,1,False,False
115,355,11,1,False,True
116,77,12,0,False,False
117,508,13,0,False,False
118,516,14,0,False,False
119,83,15,0,False,False
120,263,1,1,False,False
121,342,2,1,False,False
122,407,3,1,False,False
123,5,4,1,False,False
124,19,5,1,False,False
125,557,6,1,False,False
126,43,7,1,False,False
127,353,8,1,False,False
128,85,9,1,False,False
129,355,10,2,True,False
130,60,11,1,False,True
131,409,12,0,False,False
132,509,13,0,False,False
133,506,14,0,False,False
134,48,15,0,False,False
135,275,1,1,False,False
136,5,2,1,False,False
137,245,3,1,False,False
138,36,4,1,False,False
139,412,5,1,False,False
140,557,6,1,False,False
141,19,7,1,False,True
142,353,8,1,False,False
143,85,9,1,False,False
144,355,10,2,True,False
145,60,11,1,False,False
146,113,12,0,False,False
147,430,13,0,False,False
148,362,14,0,False,False
149,519,15,0,False,False
150,352,1,1,False,False
151,5,2,1,False,False
152,20,3,1,False,False
153,131,4,1,False,False
154,134,5,1,False,False
155,353,6,1,False,False
156,19,7,1,False,False
157,557,8,1,False,True
158,85,9,1,False,False
159,355,10,2,True,False
160,60,11,1,False,False
161,524,12,0,False,False
162,313,13,0,False,False
163,362,14,0,False,False
164,48,15,0,False,False
165,113,1,1,False,False
166,5,2,1,False,False
167,131,3,1,False,False
168,150,4,1,False,False
169,557,5,1,False,False
170,19,6,1,False,False
171,353,7,1,False,True
172,362,8,1,False,False
173,60,9,1,False,False
174,355,10,2,True,False
175,85,11,1,False,False
176,28,12,0,False,False
177,369,13,0,False,False
178,509,14,0,False,False
179,313,15,0,False,False
180,524,1,1,False,False
181,5,2,1,False,False
182,342,3,1,False,False
183,545,4,1,False,False
184,19,5,1,False,False
185,353,6,1,False,False
186,412,7,1,False,False
187,557,8,1,False,False
188,355,9,2,True,False
189,85,10,1,False,False
190,60,11,1,False,True
191,409,12,0,False,False
192,362,13,0,False,False
193,506,14,0,False,False
194,321,15,0,False,False
195,263,1,1,False,False
196,20,2,1,False,False
197,369,3,1,False,False
198,32,4,1,False,False
199,557,5,1,False,True
200,19,6,1,False,False
201,134,7,1,False,False
202,353,8,1,False,False
203,85,9,1,False,False
204,60,10,1,False,False
205,355,11,2,True,False
206,409,12,0,False,False
207,757,13,0,False,False
208,509,14,0,False,False
209,506,15,0,False,False
210,113,1,1,False,False
211,369,2,1,False,False
212,5,3,1,False,False
213,407,4,1,False,False
214,396,5,1,False,False
215,557,6,1,False,False
216,382,7,1,False,False
217,353,8,1,False,False
218,19,9,1,False,True
219,60,10,1,False,False
220,355,11,2,True,False
221,275,12,0,False,False
222,293,13,0,False,False
223,307,14,0,False,False
224,48,15,0,False,False
225,113,1,1,False,False
226,369,2,1,False,False
227,350,3,1,False,False
228,5,4,1,False,False
229,407,5,1,False,False
230,373,6,1,False,False
231,19,7,1,False,True
232,557,8,1,False,False
233,355,9,2,True,False
234,60,10,1,False,False
235,85,11,1,False,False
236,524,12,0,False,False
237,757,13,0,False,False
238,362,14,0,False,False
239,509,15,0,False,False
240,113,1,1,False,False
241,369,2,1,False,False
242,5,3,1,False,False
243,584,4,1,False,False
244,353,5,1,False,False
245,43,6,1,False,False
246,19,7,2,True,False
247,557,8,1,False,False
248,85,9,1,False,False
249,60,10,1,False,False
250,355,11,1,False,True
251,275,12,0,False,False
252,509,13,0,False,False
253,473,14,0,False,False
254,307,15,0,False,False
255,352,1,1,False,False
256,20,2,1,False,False
257,5,3,1,False,False
258,131,4,1,False,False
259,353,5,1,False,False
260,134,6,1,False,False
261,43,7,1,False,False
262,19,8,1,False,True
263,60,9,1,False,False
264,85,10,1,False,False
265,355,11,2,True,False
266,409,12,0,False,False
267,48,13,0,False,False
268,506,14,0,False,False
269,294,15,0,False,False
270,524,1,1,False,False
271,178,2,1,False,False
272,5,3,1,False,False
273,369,4,1,False,False
274,353,5,1,False,False
275,526,6,1,False,False
276,412,7,1,False,False
277,19,8,1,False,True
278,85,9,1,False,False
279,60,10,1,False,False
280,355,11,2,True,False
281,409,12,0,False,False
282,362,13,0,False,False
283,506,14,0,False,False
284,313,15,0,False,False
285,524,1,1,False,False
286,20,2,1,False,False
287,131,3,1,False,False
288,283,4,1,False,False
289,19,5,1,False,False
290,353,6,1,False,False
291,557,7,1,False,False
292,43,8,1,False,False
293,154,9,1,False,False
294,355,10,1,False,True
295,60,11,2,True,False
296,275,12,0,False,False
297,369,13,0,False,False
298,308,14,0,False,False
299,506,15,0,False,False
300,596,1,1,False,False
301,5,2,1,False,False
302,20,3,1,False,False
303,32,4,1,False,False
304,567,5,1,False,False
305,557,6,1,False,False
306,19,7,2,True,False
307,353,8,1,False,False
308,85,9,1,False,False
309,355,10,1,False,True
310,60,11,1,False,False
311,614,12,0,False,False
312,369,13,0,False,False
313,430,14,0,False,False
314,509,15,0,False,False
315,113,1,1,False,False
316,342,2,1,False,False
317,131,3,1,False,False
318,5,4,1,False,False
319,19,5,1,False,False
320,353,6,1,False,False
321,526,7,1,False,False
322,43,8,1,False,False
323,85,9,1,False,False
324,355,10,2,True,False
325,60,11,1,False,True
326,524,12,0,False,False
327,178,13,0,False,False
328,313,14,0,False,False
329,509,15,0,False,False
330,352,1,1,False,False
331,31,2,1,False,False
332,5,3,1,False,False
333,178,4,1,False,False
334,353,5,1,False,False
335,382,6,1,False,False
336,557,7,1,False,False
337,19,8,1,False,True
338,60,9,1,False,False
339,85,10,1,False,False
340,355,11,2,True,False
341,524,12,0,False,False
342,509,13,0,False,False
343,307,14,0,False,False
344,313,15,0,False,False
345,524,1,1,False,False
346,369,2,1,False,False
347,5,3,1,False,False
348,20,4,1,False,False
349,178,5,1,False,False
350,353,6,1,False,False
351,19,7,1,False,True
352,557,8,1,False,False
353,355,9,2,True,False
354,85,10,1,False,False
355,60,11,1,False,False
356,116,12,0,False,False
357,313,13,0,False,False
358,362,14,0,False,False
359,509,15,0,False,False
360,524,1,1,False,False
361,5,2,1,False,False
362,131,3,1,False,False
363,342,4,1,False,False
364,353,5,1,False,False
365,19,6,1,False,False
366,382,7,1,False,False
367,526,8,1,False,False
368,355,9,2,True,False
369,85,10,1,False,False
370,60,11,1,False,True
371,77,12,0,False,False
372,509,13,0,False,False
373,203,14,0,False,False
374,506,15,0,False,False
375,352,1,1,False,False
376,5,2,1,False,False
377,20,3,1,False,False
378,427,4,1,False,False
379,557,5,1,False,False
380,43,6,1,False,False
381,353,7,1,False,False
382,19,8,1,False,True
383,60,9,1,False,False
384,85,10,1,False,False
385,355,11,2,True,False
386,409,12,0,False,False
387,307,13,0,False,False
388,362,14,0,False,False
389,48,15,0,False,False
390,49,1,1,False,False
391,5,2,1,False,False
392,131,3,1,False,False
393,341,4,1,False,False
394,412,5,1,False,False
395,43,6,1,False,False
396,19,7,1,False,False
397,557,8,1,False,False
398,343,9,1,False,False
399,355,10,2,True,False
400,60,11,1,False,True
401,301,12,0,False,False
402,509,13,0,False,False
403,313,14,0,False,False
404,506,15,0,False,False
405,352,1,1,False,False
406,5,2,1,False,False
407,83,3,1,False,False
408,508,4,1,False,False
409,19,5,1,False,True
410,14,6,1,False,False
411,353,7,1,False,False
412,43,8,1,False,False
413,85,9,1,False,False
414,355,10,2,True,False
415,60,11,1,False,False
416,409,12,0,False,False
417,509,13,0,False,False
418,321,14,0,False,False
419,48,15,0,False,False
420,596,1,1,False,False
421,551,2,1,False,False
422,350,3,1,False,False
423,5,4,1,False,False
424,353,5,1,False,False
425,373,6,1,False,False
426,19,7,1,False,False
427,557,8,1,False,False
428,43,9,1,False,False
429,60,10,1,False,True
430,355,11,2,True,False
431,291,12,0,False,False
432,160,13,0,False,False
433,293,14,0,False,False
434,519,15,0,False,False
435,524,1,1,False,False
436,369,2,1,False,False
437,5,3,1,False,False
438,584,4,1,False,False
439,43,5,1,False,False
440,134,6,1,False,False
441,19,7,2,True,False
442,353,8,1,False,False
443,85,9,1,False,False
444,60,10,1,False,False
445,355,11,1,False,True
446,275,12,0,False,False
447,31,13,0,False,False
448,362,14,0,False,False
449,307,15,0,False,False
450,352,1,1,False,False
451,5,2,1,False,False
452,430,3,1,False,False
453,20,4,1,False,False
454,353,5,1,False,False
455,134,6,1,False,False
456,19,7,1,False,True
457,557,8,1,False,False
458,60,9,1,False,False
459,355,10,2,True,False
460,85,11,1,False,False
461,301,12,0,False,False
462,313,13,0,False,False
463,362,14,0,False,False
464,27,15,0,False,False
465,113,1,1,False,False
466,5,2,1,False,False
467,32,3,1,False,False
468,369,4,1,False,False
469,557,5,1,False,False
470,353,6,1,False,False
471,19,7,2,True,False
472,373,8,1,False,False
473,85,9,1,False,False
474,355,10,1,False,True
475,60,11,1,False,False
476,28,12,0,False,False
477,362,13,0,False,False
478,307,14,0,False,False
479,321,15,0,False,False
480,524,1,1,False,False
481,369,2,1,False,False
482,20,3,1,False,False
483,5,4,1,False,False
484,19,5,1,False,True
485,353,6,1,False,False
486,267,7,1,False,False
487,557,8,1,False,False
488,85,9,1,False,False
489,355,10,2,True,False
490,60,11,1,False,False
491,614,12,0,False,False
492,307,13,0,False,False
493,509,14,0,False,False
494,602,15,0,False,False
495,113,1,1,False,False
496,369,2,1,False,False
497,5,3,1,False,False
498,131,4,1,False,False
499,387,5,1,False,False
500,353,6,1,False,False
501,19,7,1,False,False
502,412,8,1,False,False
503,117,9,1,False,False
504,355,10,2,True,False
505,60,11,1,False,True
506,409,12,0,False,False
507,362,13,0,False,False
508,48,14,0,False,False
509,509,15,0,False,False
510,524,1,1,False,False
511,430,2,1,False,False
512,131,3,1,False,False
513,342,4,1,False,False
514,5,5,1,False,False
515,382,6,1,False,False
516,353,7,1,False,False
517,19,8,1,False,False
518,557,9,2,True,False
519,60,10,1,False,False
520,355,11,1,False,True
521,148,12,0,False,False
522,135,13,0,False,False
523,313,14,0,False,False
524,509,15,0,False,False
525,352,1,1,False,False
526,83,2,1,False,False
527,430,3,1,False,False
528,131,4,1,False,False
529,238,5,1,False,False
530,19,6,1,False,False
531,134,7,1,False,False
532,557,8,1,False,True
533,355,9,1,False,False
534,60,10,2,True,False
535,617,11,1,False,False
536,409,12,0,False,False
537,362,13,0,False,False
538,509,14,0,False,False
539,307,15,0,False,False
540,524,1,1,False,False
541,83,2,1,False,False
542,584,3,1,False,False
543,5,4,1,False,False
544,349,5,1,False,True
545,526,6,1,False,False
546,19,7,1,False,False
547,134,8,1,False,False
548,43,9,1,False,False
549,355,10,2,True,False
550,60,11,1,False,False
551,409,12,0,False,False
552,369,13,0,False,False
553,321,14,0,False,False
554,293,15,0,False,False
555,352,1,1,False,False
556,405,2,1,False,False
557,313,3,1,False,False
558,5,4,1,False,False
559,353,5,1,False,False
560,19,6,1,False,False
561,382,7,1,False,False
562,303,8,1,False,False
563,60,9,2,True,False
564,232,10,1,False,False
565,355,11,1,False,True
566,409,12,0,False,False
567,519,13,0,False,False
568,203,14,0,False,False
569,362,15,0,False,False
570,524,1,1,False,False
571,20,2,1,False,False
572,5,3,1,False,False
573,377,4,1,False,False
574,134,5,1,False,False
575,349,6,1,False,False
576,353,7,1,False,False
577,382,8,1,False,False
578,19,9,1,False,True
579,355,10,1,False,False
580,60,11,2,True,False
581,301,12,0,False,False
582,178,13,0,False,False
583,419,14,0,False,False
584,293,15,0,False,False
585,524,1,1,False,False
586,342,2,1,False,False
587,430,3,1,False,False
588,131,4,1,False,False
589,19,5,1,False,False
590,353,6,1,False,False
591,382,7,1,False,False
592,412,8,1,False,False
593,60,9,2,True,False
594,117,10,1,False,False
595,355,11,1,False,True
596,275,12,0,False,False
597,303,13,0,False,False
598,321,14,0,False,False
599,506,15,0,False,False
600,113,1,1,False,False
601,5,2,1,False,False
602,508,3,1,False,False
603,369,4,1,False,False
