,element,position,multiplier,is_captain,is_vice_captain
0,409,1,1,False,False
1,506,2,1,False,False
2,5,3,1,False,False
3,131,4,1,False,False
4,19,5,2,True,False
5,353,6,1,False,False
6,362,7,1,False,True
7,382,8,1,False,False
8,415,9,1,False,False
9,60,10,1,False,False
10,85,11,1,False,False
11,301,12,0,False,False
12,150,13,0,False,False
13,407,14,0,False,False
14,308,15,0,False,False
15,524,1,1,False,False
16,131,2,1,False,False
17,5,3,1,False,False
18,532,4,1,False,False
19,321,5,1,False,False
20,509,6,1,False,False
21,362,7,2,True,False
22,294,8,1,False,False
23,134,9,1,False,False
24,19,10,1,False,True
25,343,11,1,False,False
26,275,12,0,False,False
27,506,13,0,False,False
28,590,14,0,False,False
29,85,15,0,False,False
30,524,1,1,False,False
31,506,2,1,False,False
32,321,3,1,False,False
33,20,4,1,False,False
34,131,5,1,False,False
35,349,6,1,False,False
36,362,7,1,False,False
37,294,8,2,True,False
38,509,9,1,False,False
39,117,10,1,False,True
40,60,11,1,False,False
41,409,12,0,False,False
42,382,13,0,False,False
43,85,14,0,False,False
44,519,15,0,False,False
45,113,1,1,False,False
46,48,2,1,False,False
47,369,3,1,False,False
48,5,4,1,False,False
49,509,5,1,False,False
50,19,6,2,True,False
51,43,7,1,False,False
52,362,8,1,False,True
53,85,9,1,False,False
54,343,10,1,False,False
55,60,11,1,False,False
56,524,12,0,False,False
57,290,13,0,False,False
58,308,14,0,False,False
59,405,15,0,False,False
60,524,1,1,False,False
61,36,2,1,False,False
62,5,3,1,False,False
63,369,4,1,False,False
64,412,5,1,False,False
65,19,6,1,False,False
66,509,7,1,False,False
67,362,8,2,True,False
68,343,9,1,False,False
69,85,10,1,False,False
70,60,11,1,False,True
71,291,12,0,False,False
72,228,13,0,False,False
73,407,14,0,False,False
74,516,15,0,False,False
75,524,1,1,False,False
76,32,2,1,False,False
77,5,3,1,False,False
78,506,4,1,False,False
79,298,5,1,False,False
80,197,6,1,False,False
81,19,7,2,True,False
82,362,8,1,False,True
83,85,9,1,False,False
84,60,10,1,False,False
85,343,11,1,False,False
86,409,12,0,False,False
87,501,13,0,False,False
88,308,14,0,False,False
89,403,15,0,False,False
90,113,1,1,False,False
91,203,2,1,False,False
92,32,3,1,False,False
93,5,4,1,False,False
94,509,5,1,False,False
95,353,6,1,False,False
96,362,7,1,False,True
97,19,8,2,True,False
98,343,9,1,False,False
99,60,10,1,False,False
100,85,11,1,False,False
101,28,12,0,False,False
102,369,13,0,False,False
103,290,14,0,False,False
104,308,15,0,False,False
105,524,1,1,False,False
106,5,2,1,False,False
107,48,3,1,False,False
108,506,4,1,False,False
109,362,5,1,False,False
110,294,6,1,False,False
111,526,7,1,False,False
112,353,8,1,False,False
113,19,9,2,True,False
114,60,10,1,False,False
115,343,11,1,False,True
116,409,12,0,False,False
117,85,13,0,False,False
118,290,14,0,False,False
119,602,15,0,False,False
120,524,1,1,False,False
121,506,2,1,False,False
122,203,3,1,False,False
123,131,4,1,False,False
124,5,5,1,False,False
125,349,6,1,False,True
126,362,7,2,True,False
127,353,8,1,False,False
128,19,9,1,False,False
129,60,10,1,False,False
130,135,11,1,False,False
131,28,12,0,False,False
132,447,13,0,False,False
133,355,14,0,False,False
134,316,15,0,False,False
135,524,1,1,False,False
136,245,2,1,False,False
137,131,3,1,False,False
138,5,4,1,False,False
139,203,5,1,False,False
140,294,6,2,True,False
141,526,7,1,False,False
142,362,8,1,False,True
143,19,9,1,False,False
144,60,10,1,False,False
145,246,11,1,False,False
146,409,12,0,False,False
147,557,13,0,False,False
148,290,14,0,False,False
149,538,15,0,False,False
150,49,1,1,False,False
151,197,2,1,False,False
152,369,3,1,False,False
153,506,4,1,False,False
154,131,5,1,False,False
155,19,6,2,True,False
156,362,7,1,False,False
157,353,8,1,False,True
158,134,9,1,False,False
159,343,10,1,False,False
160,8,11,1,False,False
161,409,12,0,False,False
162,232,13,0,False,False
163,584,14,0,False,False
164,308,15,0,False,False
165,524,1,1,False,False
166,197,2,1,False,False
167,20,3,1,False,False
168,506,4,1,False,False
169,245,5,1,False,False
170,19,6,2,True,False
